NDP "ZC (M$/year)" "ZE (ton CO2-eq/year)"
Sol_1 175.7482533416715 664.3147274408062
Sol_2 175.7482533416715 664.3147274408062
Sol_3 175.80445833448977 657.2292223611812
Sol_4 175.80445833448977 657.2292223611812
Sol_5 175.84085585483695 652.640754284339
Sol_6 175.84085585483695 652.640754284339
Sol_7 175.8970608476552 645.5552492047138
Sol_8 175.8970608476552 645.5552492047138
Sol_9 175.95768635890454 637.9124696868683
Sol_10 175.95768635890454 637.9124696868683
Sol_11 175.9744993058474 635.7929387520957
Sol_12 176.0138913517228 630.8269646072433
Sol_13 176.03070429866565 628.7074336724706
Sol_14 176.03687508137887 627.9295114618703
Sol_15 176.05028887206998 626.2384965304011
Sol_16 176.06710181901283 624.1189655956284
Sol_17 176.07215159611613 623.4823634091981
Sol_18 176.09308007419713 620.8440063822453
Sol_19 176.10649386488825 619.152991450776
Sol_20 176.1233068118311 617.0334605160033
Sol_21 176.1294775945443 616.2555383054031
Sol_22 176.16475410928157 611.8083902527308
Sol_23 176.16475410928157 611.8083902527308
Sol_24 176.16475410928157 611.8083902527308
Sol_25 176.18568258736258 609.1700332257781
Sol_26 176.18568258736258 609.1700332257781
Sol_27 176.22095910209984 604.7228851731056
Sol_28 176.22095910209984 604.7228851731056
Sol_29 176.24187995292266 602.085489679533
Sol_30 176.24187995292266 602.085489679533
Sol_31 176.2463080986119 601.5272537079325
Sol_32 176.26312104555475 599.4077227731598
Sol_33 176.27653483624587 597.7167078416905
Sol_34 176.28158461334917 597.0801056552602
Sol_35 176.2980849457409 594.999984599908
Sol_36 176.2980849457409 594.999984599908
Sol_37 176.30251309143017 594.4417486283074
Sol_38 176.31932603837302 592.3222176935348
Sol_39 176.31932603837302 592.3222176935348
Sol_40 176.33273982906414 590.6312027620654
Sol_41 176.33891061177735 589.8532805514652
Sol_42 176.35460255311028 587.8750696408624
Sol_43 176.35460255311028 587.8750696408624
Sol_44 176.3607733358235 587.0971474302622
Sol_45 176.3741871265146 585.4061324987929
Sol_46 176.3741871265146 585.4061324987929
Sol_47 176.39068745890634 583.3260114434406
Sol_48 176.39511560459562 582.7677754718402
Sol_49 176.41192855153847 580.6482445370675
Sol_50 176.41192855153847 580.6482445370675
Sol_51 176.41697832864176 580.0116423506372
Sol_52 176.43039211933288 578.3206274191677
Sol_53 176.43039211933288 578.3206274191677
Sol_54 176.44720506627573 576.2010964843951
Sol_55 176.45337584898894 575.423174273795
Sol_56 176.46812591709855 573.5637009908224
Sol_57 176.4725540627878 573.0054650192219
Sol_58 176.50751796297394 568.5977268459701
Sol_59 176.52875905560606 565.9199599395969
Sol_60 176.54391100144707 564.0098237783866
Sol_61 176.560728430264 561.8897278343552
Sol_62 176.57020635305653 560.6948896763244
Sol_63 176.58688427215498 558.6147110491692
Sol_64 176.6004330906905 556.8843438100823
Sol_65 176.61693342308223 554.8042227547301
Sol_66 176.6264113458748 553.6093845966993
Sol_67 176.64322429281765 551.4898536619266
Sol_68 176.64322429281765 551.4898536619266
Sol_69 176.64322429281765 551.4898536619266
Sol_70 176.65663808350877 549.7988387304572
Sol_71 176.66280886622198 549.0209165198571
Sol_72 176.6777366118905 547.1614071197201
Sol_73 176.67962181316483 546.9013855850844
Sol_74 176.71458571335097 542.4936474118324
Sol_75 176.71901385904025 541.935411440232
Sol_76 176.73376392714982 540.0759381572595
Sol_77 176.7399347098631 539.2980159466593
Sol_78 176.75674765680594 537.1784850118867
Sol_79 176.75674765680594 537.1784850118867
Sol_80 176.75674765680594 537.1784850118867
Sol_81 176.77016144749703 535.4874700804173
Sol_82 176.77521122460033 534.850867893987
Sol_83 176.7856391602581 533.5362659810885
Sol_84 176.79645231723242 532.1731009876138
Sol_85 176.8129526496242 530.0929799322616
Sol_86 176.8129526496242 530.0929799322616
Sol_87 176.82636644031527 528.4019650007922
Sol_88 176.83253722302854 527.624042790192
Sol_89 176.84184415307638 526.4507609014635
Sol_90 176.85439994707468 524.867909668989
Sol_91 176.86781373776577 523.1768947375197
Sol_92 176.86781373776577 523.1768947375197
Sol_93 176.87824167342356 521.8622928246212
Sol_94 176.88462668470862 521.057363802747
Sol_95 176.88905483039787 520.4991278311466
Sol_96 176.90555516278965 518.4190067757943
Sol_97 176.91060493989295 517.782404589364
Sol_98 176.924018730584 516.0913896578945
Sol_99 176.924018730584 516.0913896578945
Sol_100 176.93444666624183 514.7767877449962
Sol_101 176.94700246024013 513.1939365125218
Sol_102 176.94700246024013 513.1939365125218
Sol_103 176.96618067403898 510.7762272579488
Sol_104 176.96618067403898 510.7762272579488
Sol_105 176.99507217749118 507.1340082271507
Sol_106 176.99507217749118 507.1340082271507
Sol_107 177.00145718877621 506.32907920527646
Sol_108 177.011885124434 505.01447729237793
Sol_109 177.02238566685725 503.69072217832365
Sol_110 177.05127717030945 500.0485031475256
Sol_111 177.05127717030945 500.0485031475256
Sol_112 177.75639967762686 411.15694998051424
Sol_113 177.77114974573644 409.2974766975418
